psi	rP1	rP2
22.248000	2546.401194	5279.684076
22.284000	2547.126195	5278.198775
22.320000	2547.851887	5276.714911
22.356000	2548.578269	5275.232483
22.392000	2549.305342	5273.751492
22.428000	2550.033106	5272.271936
22.464000	2550.761562	5270.793815
22.500000	2551.490708	5269.317129
22.536000	2552.220547	5267.841877
22.572000	2552.951077	5266.368059
22.608000	2553.682300	5264.895674
22.644000	2554.414215	5263.424721
22.680000	2555.146823	5261.955201
22.716000	2555.880124	5260.487113
22.752000	2556.614117	5259.020456
22.788000	2557.348805	5257.555230
22.824000	2558.084185	5256.091434
22.860000	2558.820260	5254.629068
22.896000	2559.557029	5253.168132
22.932000	2560.294492	5251.708625
22.968000	2561.032650	5250.250546
23.004000	2561.771502	5248.793896
23.040000	2562.511049	5247.338673
23.076000	2563.251292	5245.884877
23.112000	2563.992230	5244.432509
23.148000	2564.733864	5242.981566
23.184000	2565.476194	5241.532049
23.220000	2566.219221	5240.083958
23.256000	2566.962943	5238.637292
23.292000	2567.707363	5237.192050
23.328000	2568.452479	5235.748232
23.364000	2569.198292	5234.305838
23.400000	2569.944803	5232.864867
23.436000	2570.692012	5231.425318
23.472000	2571.439918	5229.987192
23.508000	2572.188523	5228.550487
23.544000	2572.937826	5227.115204
23.580000	2573.687828	5225.681342
23.616000	2574.438528	5224.248900
23.652000	2575.189928	5222.817879
23.688000	2575.942027	5221.388276
23.724000	2576.694825	5219.960093
23.760000	2577.448324	5218.533329
23.796000	2578.202522	5217.107983
23.832000	2578.957421	5215.684054
23.868000	2579.713020	5214.261543
23.904000	2580.469320	5212.840449
23.940000	2581.226322	5211.420772
23.976000	2581.984024	5210.002510
24.012000	2582.742428	5208.585664
24.048000	2583.501534	5207.170233
24.084000	2584.261342	5205.756217
24.120000	2585.021852	5204.343615
24.156000	2585.783064	5202.932427
24.192000	2586.544980	5201.522652
24.228000	2587.307598	5200.114291
24.264000	2588.070920	5198.707342
24.300000	2588.834945	5197.301805
24.336000	2589.599673	5195.897680
24.372000	2590.365106	5194.494966
24.408000	2591.131243	5193.093662
24.444000	2591.898085	5191.693770
24.480000	2592.665631	5190.295287
24.516000	2593.433882	5188.898214
24.552000	2594.202839	5187.502550
24.588000	2594.972501	5186.108294
24.624000	2595.742868	5184.715447
24.660000	2596.513942	5183.324008
24.696000	2597.285721	5181.933976
24.732000	2598.058208	5180.545351
24.768000	2598.831401	5179.158133
24.804000	2599.605301	5177.772321
24.840000	2600.379908	5176.387914
24.876000	2601.155222	5175.004913
24.912000	2601.931244	5173.623317
24.948000	2602.707975	5172.243125
24.984000	2603.485413	5170.864338
25.020000	2604.263560	5169.486954
25.056000	2605.042415	5168.110973
25.092000	2605.821980	5166.736395
25.128000	2606.602254	5165.363220
25.164000	2607.383237	5163.991446
25.200000	2608.164930	5162.621074
25.236000	2608.947333	5161.252103
25.272000	2609.730446	5159.884533
25.308000	2610.514269	5158.518363
25.344000	2611.298803	5157.153593
25.380000	2612.084049	5155.790223
25.416000	2612.870005	5154.428252
25.452000	2613.656673	5153.067679
25.488000	2614.444052	5151.708505
25.524000	2615.232144	5150.350729
25.560000	2616.020948	5148.994350
25.596000	2616.810464	5147.639368
25.632000	2617.600693	5146.285783
25.668000	2618.391635	5144.933594
25.704000	2619.183291	5143.582801
25.740000	2619.975659	5142.233403
25.776000	2620.768742	5140.885400
25.812000	2621.562539	5139.538792
25.848000	2622.357049	5138.193579
25.884000	2623.152275	5136.849759
25.920000	2623.948215	5135.507332
25.956000	2624.744870	5134.166299
25.992000	2625.542241	5132.826658
26.028000	2626.340327	5131.488410
26.064000	2627.139129	5130.151553
26.100000	2627.938647	5128.816088
26.136000	2628.738881	5127.482014
26.172000	2629.539832	5126.149330
26.208000	2630.341499	5124.818037
26.244000	2631.143884	5123.488134
26.280000	2631.946986	5122.159620
26.316000	2632.750806	5120.832495
26.352000	2633.555344	5119.506759
26.388000	2634.360600	5118.182412
26.424000	2635.166574	5116.859452
26.460000	2635.973267	5115.537880
26.496000	2636.780678	5114.217695
26.532000	2637.588809	5112.898896
26.568000	2638.397659	5111.581484
26.604000	2639.207230	5110.265458
26.640000	2640.017520	5108.950818
26.676000	2640.828530	5107.637563
26.712000	2641.640260	5106.325692
26.748000	2642.452712	5105.015206
26.784000	2643.265884	5103.706105
26.820000	2644.079778	5102.398386
26.856000	2644.894393	5101.092052
26.892000	2645.709730	5099.787100
26.928000	2646.525789	5098.483530
26.964000	2647.342570	5097.181343
27.000000	2648.160074	5095.880537
27.036000	2648.978301	5094.581113
27.072000	2649.797251	5093.283070
27.108000	2650.616924	5091.986408
27.144000	2651.437321	5090.691125
27.180000	2652.258442	5089.397223
27.216000	2653.080287	5088.104700
27.252000	2653.902856	5086.813557
27.288000	2654.726150	5085.523792
27.324000	2655.550169	5084.235405
27.360000	2656.374913	5082.948397
27.396000	2657.200383	5081.662766
27.432000	2658.026578	5080.378512
27.468000	2658.853500	5079.095636
27.504000	2659.681147	5077.814136
27.540000	2660.509522	5076.534012
27.576000	2661.338623	5075.255263
27.612000	2662.168451	5073.977891
27.648000	2662.999006	5072.701893
27.684000	2663.830289	5071.427270
27.720000	2664.662301	5070.154021
27.756000	2665.495040	5068.882147
27.792000	2666.328507	5067.611646
27.828000	2667.162704	5066.342518
27.864000	2667.997629	5065.074763
27.900000	2668.833283	5063.808380
27.936000	2669.669667	5062.543370
27.972000	2670.506781	5061.279731
28.008000	2671.344625	5060.017464
28.044000	2672.183199	5058.756568
28.080000	2673.022504	5057.497043
28.116000	2673.862539	5056.238888
28.152000	2674.703306	5054.982103
28.188000	2675.544804	5053.726688
28.224000	2676.387033	5052.472641
28.260000	2677.229995	5051.219964
28.296000	2678.073689	5049.968656
28.332000	2678.918115	5048.718715
28.368000	2679.763274	5047.470143
28.404000	2680.609166	5046.222938
28.440000	2681.455792	5044.977100
28.476000	2682.303151	5043.732628
28.512000	2683.151243	5042.489524
28.548000	2684.000070	5041.247785
28.584000	2684.849631	5040.007412
28.620000	2685.699927	5038.768405
28.656000	2686.550958	5037.530762
28.692000	2687.402724	5036.294485
28.728000	2688.255226	5035.059571
28.764000	2689.108463	5033.826022
28.800000	2689.962436	5032.593836
28.836000	2690.817146	5031.363014
28.872000	2691.672592	5030.133554
28.908000	2692.528775	5028.905457
28.944000	2693.385696	5027.678723
28.980000	2694.243353	5026.453350
29.016000	2695.101749	5025.229339
29.052000	2695.960882	5024.006689
29.088000	2696.820753	5022.785400
29.124000	2697.681363	5021.565472
29.160000	2698.542712	5020.346903
29.196000	2699.404800	5019.129695
29.232000	2700.267627	5017.913846
29.268000	2701.131194	5016.699357
29.304000	2701.995501	5015.486226
29.340000	2702.860548	5014.274454
29.376000	2703.726336	5013.064040
29.412000	2704.592864	5011.854984
29.448000	2705.460133	5010.647285
29.484000	2706.328143	5009.440944
29.520000	2707.196896	5008.235959
